task=human_or_worm model=ph folds=5 epochs=30 head_batch=512 feat_batch=128 lr=0.001 device=mps smoke=False
paper Table 1 (full fine-tune): 0.973 ± 0.001
  (we are running a frozen-backbone linear probe — expect lower numbers)
loaded 100,000 sequences, seq_len=200
pretokenized in 4.1s, ids shape=(100000, 201)
loading kuleshov-group/caduceus-ph_seqlen-1k_d_model-118_n_layer-4_lr-8e-3...
  features:     128/100,000  (  272 ex/s, eta 367.7s)
  features:   1,408/100,000  (  325 ex/s, eta 303.6s)
  features:   2,688/100,000  (  328 ex/s, eta 296.4s)
  features:   3,968/100,000  (  330 ex/s, eta 291.3s)
  features:   5,248/100,000  (  330 ex/s, eta 286.8s)
  features:   6,528/100,000  (  331 ex/s, eta 282.6s)
  features:   7,808/100,000  (  331 ex/s, eta 278.4s)
  features:   9,088/100,000  (  331 ex/s, eta 274.4s)
  features:  10,368/100,000  (  332 ex/s, eta 270.4s)
  features:  11,648/100,000  (  332 ex/s, eta 266.5s)
  features:  12,928/100,000  (  332 ex/s, eta 262.6s)
  features:  14,208/100,000  (  332 ex/s, eta 258.6s)
  features:  15,488/100,000  (  332 ex/s, eta 254.7s)
  features:  16,768/100,000  (  332 ex/s, eta 250.8s)
  features:  18,048/100,000  (  332 ex/s, eta 246.9s)
  features:  19,328/100,000  (  332 ex/s, eta 243.1s)
  features:  20,608/100,000  (  332 ex/s, eta 239.2s)
  features:  21,888/100,000  (  332 ex/s, eta 235.3s)
  features:  23,168/100,000  (  332 ex/s, eta 231.4s)
  features:  24,448/100,000  (  332 ex/s, eta 227.5s)
  features:  25,728/100,000  (  332 ex/s, eta 223.7s)
  features:  27,008/100,000  (  332 ex/s, eta 219.8s)
  features:  28,288/100,000  (  332 ex/s, eta 215.9s)
  features:  29,568/100,000  (  332 ex/s, eta 212.1s)
  features:  30,848/100,000  (  332 ex/s, eta 208.2s)
  features:  32,128/100,000  (  332 ex/s, eta 204.3s)
  features:  33,408/100,000  (  332 ex/s, eta 200.5s)
  features:  34,688/100,000  (  332 ex/s, eta 196.6s)
  features:  35,968/100,000  (  332 ex/s, eta 192.8s)
  features:  37,248/100,000  (  332 ex/s, eta 188.9s)
  features:  38,528/100,000  (  332 ex/s, eta 185.1s)
  features:  39,808/100,000  (  332 ex/s, eta 181.2s)
  features:  41,088/100,000  (  332 ex/s, eta 177.4s)
  features:  42,368/100,000  (  332 ex/s, eta 173.5s)
  features:  43,648/100,000  (  332 ex/s, eta 169.7s)
  features:  44,928/100,000  (  332 ex/s, eta 165.8s)
  features:  46,208/100,000  (  332 ex/s, eta 162.0s)
  features:  47,488/100,000  (  332 ex/s, eta 158.2s)
  features:  48,768/100,000  (  332 ex/s, eta 154.3s)
  features:  50,048/100,000  (  332 ex/s, eta 150.5s)
  features:  51,328/100,000  (  332 ex/s, eta 146.6s)
  features:  52,608/100,000  (  332 ex/s, eta 142.8s)
  features:  53,888/100,000  (  332 ex/s, eta 139.0s)
  features:  55,168/100,000  (  332 ex/s, eta 135.1s)
  features:  56,448/100,000  (  332 ex/s, eta 131.2s)
  features:  57,728/100,000  (  332 ex/s, eta 127.4s)
  features:  59,008/100,000  (  332 ex/s, eta 123.5s)
  features:  60,288/100,000  (  332 ex/s, eta 119.7s)
  features:  61,568/100,000  (  332 ex/s, eta 115.8s)
  features:  62,848/100,000  (  332 ex/s, eta 111.9s)
  features:  64,128/100,000  (  332 ex/s, eta 108.1s)
  features:  65,408/100,000  (  332 ex/s, eta 104.2s)
  features:  66,688/100,000  (  332 ex/s, eta 100.4s)
  features:  67,968/100,000  (  332 ex/s, eta  96.5s)
  features:  69,248/100,000  (  332 ex/s, eta  92.7s)
  features:  70,528/100,000  (  332 ex/s, eta  88.8s)
  features:  71,808/100,000  (  332 ex/s, eta  85.0s)
  features:  73,088/100,000  (  332 ex/s, eta  81.1s)
  features:  74,368/100,000  (  332 ex/s, eta  77.2s)
  features:  75,648/100,000  (  332 ex/s, eta  73.4s)
  features:  76,928/100,000  (  332 ex/s, eta  69.5s)
  features:  78,208/100,000  (  332 ex/s, eta  65.7s)
  features:  79,488/100,000  (  332 ex/s, eta  61.8s)
  features:  80,768/100,000  (  332 ex/s, eta  57.9s)
  features:  82,048/100,000  (  332 ex/s, eta  54.1s)
  features:  83,328/100,000  (  332 ex/s, eta  50.2s)
  features:  84,608/100,000  (  332 ex/s, eta  46.4s)
  features:  85,888/100,000  (  332 ex/s, eta  42.5s)
  features:  87,168/100,000  (  332 ex/s, eta  38.7s)
  features:  88,448/100,000  (  332 ex/s, eta  34.8s)
  features:  89,728/100,000  (  332 ex/s, eta  31.0s)
  features:  91,008/100,000  (  332 ex/s, eta  27.1s)
  features:  92,288/100,000  (  332 ex/s, eta  23.2s)
  features:  93,568/100,000  (  332 ex/s, eta  19.4s)
  features:  94,848/100,000  (  332 ex/s, eta  15.5s)
  features:  96,128/100,000  (  332 ex/s, eta  11.7s)
  features:  97,408/100,000  (  332 ex/s, eta   7.8s)
  features:  98,688/100,000  (  332 ex/s, eta   4.0s)
  features:  99,968/100,000  (  332 ex/s, eta   0.1s)
features shape: (100000, 118)
[human_or_worm PH fold 1/5] epoch 1/30  train_loss=0.6863  val_loss=0.6684  val_acc=0.6204  (0.3s)
[human_or_worm PH fold 1/5] epoch 2/30  train_loss=0.6574  val_loss=0.6471  val_acc=0.6343  (0.2s)
[human_or_worm PH fold 1/5] epoch 3/30  train_loss=0.6411  val_loss=0.6336  val_acc=0.6495  (0.2s)
[human_or_worm PH fold 1/5] epoch 4/30  train_loss=0.6292  val_loss=0.6226  val_acc=0.6609  (0.2s)
[human_or_worm PH fold 1/5] epoch 5/30  train_loss=0.6187  val_loss=0.6125  val_acc=0.6737  (0.2s)
[human_or_worm PH fold 1/5] epoch 6/30  train_loss=0.6093  val_loss=0.6038  val_acc=0.6835  (0.2s)
[human_or_worm PH fold 1/5] epoch 7/30  train_loss=0.6005  val_loss=0.5951  val_acc=0.6931  (0.2s)
[human_or_worm PH fold 1/5] epoch 8/30  train_loss=0.5923  val_loss=0.5873  val_acc=0.7018  (0.2s)
[human_or_worm PH fold 1/5] epoch 9/30  train_loss=0.5849  val_loss=0.5803  val_acc=0.7102  (0.2s)
[human_or_worm PH fold 1/5] epoch 10/30  train_loss=0.5780  val_loss=0.5737  val_acc=0.7192  (0.2s)
[human_or_worm PH fold 1/5] epoch 11/30  train_loss=0.5718  val_loss=0.5677  val_acc=0.7258  (0.2s)
[human_or_worm PH fold 1/5] epoch 12/30  train_loss=0.5660  val_loss=0.5624  val_acc=0.7321  (0.2s)
[human_or_worm PH fold 1/5] epoch 13/30  train_loss=0.5608  val_loss=0.5573  val_acc=0.7389  (0.2s)
[human_or_worm PH fold 1/5] epoch 14/30  train_loss=0.5561  val_loss=0.5530  val_acc=0.7433  (0.2s)
[human_or_worm PH fold 1/5] epoch 15/30  train_loss=0.5518  val_loss=0.5489  val_acc=0.7497  (0.2s)
[human_or_worm PH fold 1/5] epoch 16/30  train_loss=0.5479  val_loss=0.5453  val_acc=0.7536  (0.2s)
